
Histogram of unique 21-mers of sanger_newton_drMalDome6.R1

  Input: 5,040,376,329 unique 21-mers

     Freq:        Count   Cum. %
      448:        38778     0.3%
      447:        39221     0.3%
      446:        39833     0.3%
      445:        39958     0.3%
      444:        40297     0.3%
      443:        40796     0.3%
      442:        40761     0.3%
      441:        41246     0.3%
      440:        41362     0.3%
      439:        41821     0.3%
      438:        42196     0.3%
      437:        42369     0.3%
      436:        42392     0.3%
      435:        43205     0.3%
      434:        43696     0.3%
      433:        44036     0.3%
      432:        44445     0.3%
      431:        44669     0.3%
      430:        45397     0.3%
      429:        45525     0.3%
      428:        46039     0.3%
      427:        46357     0.3%
      426:        46913     0.3%
      425:        47365     0.3%
      424:        47774     0.3%
      423:        48078     0.3%
      422:        48644     0.3%
      421:        48882     0.3%
      420:        49563     0.3%
      419:        49968     0.3%
      418:        49827     0.3%
      417:        50647     0.3%
      416:        51031     0.3%
      415:        51134     0.3%
      414:        51536     0.3%
      413:        51891     0.3%
      412:        51661     0.3%
      411:        52499     0.3%
      410:        53253     0.3%
      409:        53242     0.3%
      408:        53648     0.3%
      407:        54355     0.3%
      406:        54337     0.3%
      405:        54966     0.3%
      404:        55386     0.3%
      403:        55460     0.3%
      402:        56089     0.3%
      401:        55686     0.3%
      400:        56276     0.3%
      399:        56522     0.3%
      398:        56902     0.3%
      397:        57380     0.3%
      396:        57618     0.3%
      395:        57502     0.3%
      394:        58017     0.3%
      393:        58323     0.3%
      392:        58013     0.3%
      391:        58816     0.3%
      390:        59261     0.3%
      389:        59564     0.3%
      388:        59355     0.3%
      387:        59447     0.3%
      386:        59567     0.3%
      385:        60029     0.3%
      384:        59834     0.3%
      383:        60825     0.3%
      382:        60704     0.3%
      381:        61139     0.3%
      380:        61438     0.3%
      379:        60892     0.3%
      378:        61456     0.3%
      377:        61388     0.3%
      376:        61530     0.3%
      375:        62072     0.3%
      374:        61991     0.3%
      373:        61813     0.3%
      372:        62674     0.3%
      371:        62504     0.4%
      370:        62583     0.4%
      369:        63208     0.4%
      368:        62856     0.4%
      367:        63088     0.4%
      366:        63802     0.4%
      365:        63841     0.4%
      364:        64096     0.4%
      363:        64324     0.4%
      362:        64041     0.4%
      361:        63893     0.4%
      360:        64097     0.4%
      359:        64565     0.4%
      358:        65312     0.4%
      357:        65104     0.4%
      356:        65639     0.4%
      355:        65010     0.4%
      354:        65758     0.4%
      353:        65883     0.4%
      352:        66053     0.4%
      351:        66375     0.4%
      350:        66900     0.4%
      349:        67173     0.4%
      348:        67091     0.4%
      347:        67550     0.4%
      346:        68010     0.4%
      345:        67856     0.4%
      344:        68443     0.4%
      343:        68690     0.4%
      342:        69079     0.4%
      341:        69164     0.4%
      340:        69255     0.4%
      339:        69838     0.4%
      338:        70422     0.4%
      337:        71136     0.4%
      336:        72633     0.4%
      335:        72393     0.4%
      334:        73302     0.4%
      333:        74471     0.4%
      332:        75517     0.4%
      331:        75633     0.4%
      330:        76367     0.4%
      329:        77374     0.4%
      328:        78976     0.4%
      327:        79802     0.4%
      326:        80208     0.4%
      325:        81385     0.4%
      324:        82650     0.4%
      323:        84112     0.4%
      322:        85125     0.4%
      321:        86645     0.4%
      320:        88255     0.4%
      319:        90442     0.4%
      318:        92327     0.4%
      317:        94228     0.4%
      316:        96355     0.4%
      315:        97919     0.4%
      314:       100262     0.4%
      313:       102595     0.4%
      312:       104534     0.4%
      311:       107426     0.4%
      310:       110485     0.4%
      309:       112563     0.4%
